"Perioden";"Huwelijkssluiting/Totaal huwelijkssluitingen (aantal)";"Gemiddelde leeftijd bij huwelijksslui.../Mannen/Totaal mannen (jaar)";"Gemiddelde leeftijd bij huwelijksslui.../Vrouwen/Totaal vrouwen (jaar)"
"1950";83110;30;26,9
"1951";90225;29,6;26,6
"1952";87402;29,5;26,5
"1953";85739;29,4;26,4
"1954";88103;29,3;26,4
"1955";89037;29,2;26,3
"1956";92272;29,1;26,2
"1957";93592;29;26,1
"1958";91508;28,7;25,8
"1959";88007;28,5;25,6
"1960";89100;28,3;25,4
"1961";92583;28;25,1
"1962";93144;27,8;24,9
"1963";95360;27,6;24,8
"1964";102913;27,5;24,6
"1965";108517;27,1;24,3
"1966";111912;26,9;24,1
"1967";115115;26,5;23,9
"1968";117534;26,3;23,8
"1969";117397;26,2;23,8
"1970";123631;26,2;23,7
"1971";122395;26,1;23,6
"1972";117532;26,3;23,7
"1973";107642;26,5;23,8
"1974";109607;26,5;23,7
"1975";100081;26,5;23,8
"1976";97041;26,6;23,8
"1977";93280;26,9;24,1
"1978";89090;27,2;24,3
"1979";85648;27,3;24,5
"1980";90182;27,4;24,5
"1981";85574;27,5;24,6
"1982";83516;27,7;24,9
"1983";78451;28,1;25,2
"1984";81655;28,8;25,9
"1985";82747;29,1;26,3
"1986";87337;29,6;26,8
"1987";87400;29,8;27
"1988";87843;30,1;27,3
"1989";90248;30,3;27,6
"1990";95649;30,7;28
"1991";94932;31,1;28,4
"1992";93638;31,5;28,8
"1993";88273;31,8;29,1
"1994";82982;32,1;29,5
"1995";81469;32,4;29,6
"1996";85140;32,8;30
"1997";85059;33,2;30,4
"1998";86956;33,6;30,7
"1999";89428;33,7;30,8
"2000";88074;34,1;31,1
"2001";82091;34,6;31,5
"2002";85808;34,7;31,6
"2003";80427;35;31,9
"2004";73441;35,4;32,3
"2005";72263;35,8;32,7
"2006";72369;36,1;33
"2007";72485;36,3;33,2
"2008";75438;36,4;33,4
"2009";73477;36,5;33,4
"2010";75399;36,6;33,4
"2011";71572;36,9;33,8
"2012";70315;37;33,8
"2013";64549;37;33,8
"2014";65333;37,1;33,9
"2015";64308;37,5;34,4
"2016";65249;37,7;34,7
"2017";64402;38;35
"2018";64315;38,2;35,2
"2019";63565;38,4;35,5
"2020";50233;38,8;35,9
"2021";56419;38,3;35,5
"2022";70608;39,1;36,4
